Train,Time_Steps,Intrinsic Reward Rate,Extrinsic Reward Rate,Batch_Reward,Reward_Rate,Critic_Loss,Actor_loss,Curiosity_Loss,Forward_Loss,Inverse_Loss
Train,5120,0.012618789076805114,0.0,64.60819423943758,0.012618787937390153,0.051610757,0.56337076,2.7296762,0.012618788,2.7170572
Train,10240,0.012256006896495818,0.78125,4062.750742211938,0.7935060043382691,7874.314,41.89623,2.726432,0.012256004,2.714176
Train,15360,0.011865940690040589,0.1953125,1060.7536057503894,0.20717843862312293,1967.9727,10.666778,2.7275226,0.011865939,2.7156568
Train,20480,0.011515624076128005,0.78125,4058.959981497377,0.7927656213862064,7021.0845,35.03937,2.7254422,0.011515622,2.7139266
Train,25600,0.011228573322296143,0.5859375,3057.4902934478596,0.5971660729390351,5663.8594,27.884092,2.725411,0.0112285735,2.714182
Train,30720,0.010841836780309677,0.390625,2055.510203683749,0.4014668366569822,3831.1765,18.828981,2.7270722,0.010841836,2.7162302
Train,35840,0.010516474395990372,0.5859375,3053.8443452520296,0.596453973682037,5904.4263,31.608355,2.724552,0.010516474,2.7140353
Train,40960,0.010208482295274735,0.0,52.26744219381362,0.010208484803479223,0.030977199,0.41741383,2.7253373,0.010208485,2.7151287
Train,46080,0.009779100120067597,0.78125,4050.0690001333132,0.7910291015885378,6099.7295,31.99865,2.7236621,0.009779102,2.713883
Train,51200,0.009388399124145509,0.0,48.06859760172665,0.009388397969087237,0.025762398,0.37637648,2.7230716,0.009388397,2.7136834
Train,56320,0.009090506285429002,0.1953125,1046.5433939965442,0.20440300663995004,1635.3892,6.5009236,2.7228036,0.009090507,2.7137132
Train,61440,0.008699097484350205,0.5859375,3044.5393765782937,0.594636596987948,5509.19,24.948694,2.7246156,0.008699097,2.7159164
Train,66560,0.008505065739154816,0.390625,2043.5459411628544,0.39913006663337003,3936.1501,21.094612,2.721925,0.008505067,2.71342
Train,71680,0.008392267674207688,0.1953125,1042.9684091042727,0.20370476740317828,1967.9756,10.720269,2.721867,0.008392267,2.713475
Train,76800,0.00821390375494957,0.390625,2042.0551833002828,0.39883890298833646,3935.9915,21.002462,2.7195425,0.008213903,2.7113285
Train,81920,0.008001670986413956,0.1953125,1040.9685627063736,0.2033141724035886,1967.5605,10.697241,2.7201722,0.008001673,2.7121706
Train,87040,0.00783296748995781,0.1953125,1040.1047955178656,0.20314546787458312,1968.1096,10.699602,2.719809,0.007832969,2.711976
Train,92160,0.0075285404920578,0.390625,2038.5461026839912,0.398153535680467,3825.4531,17.690176,2.7180796,0.007528536,2.710551
Train,97280,0.007391101121902466,0.0,37.84242925141007,0.007391099463166029,0.015299152,0.28383917,2.7222557,0.0073911,2.7148647
Train,102400,0.0071780838072299956,0.9765625,5036.751795582473,0.9837405850747019,7887.583,39.018127,2.7213948,0.0071780845,2.714217
Train,107520,0.007083494961261749,0.1953125,1036.267494912725,0.20239599510014158,1967.6832,10.664534,2.7212162,0.007083495,2.7141328
Train,112640,0.0070528313517570496,0.390625,2036.1105045508593,0.39767783292008974,2163.0493,11.201939,2.7200787,0.0070528327,2.7130258
Train,117760,0.006965704262256622,0.1953125,1035.6643979013897,0.20227820271511518,1967.5377,10.619341,2.717912,0.006965703,2.7109463
Train,122880,0.006810680031776428,0.390625,2034.8706835731864,0.39743568038538796,3933.2246,20.702734,2.718888,0.00681068,2.7120774
Train,128000,0.006714286655187607,0.78125,4034.377158576157,0.7879642887844056,7570.9644,37.718193,2.7185779,0.006714289,2.7118633
Train,133120,0.00668901652097702,0.390625,2034.247753045056,0.3973140142666125,3932.9478,20.672188,2.7208354,0.0066890144,2.7141464
Train,138240,0.006536176800727845,0.9765625,5033.465226101689,0.9830986769729861,9214.065,46.11709,2.7186582,0.006536177,2.7121217
Train,143360,0.006469617784023285,0.78125,4033.124430793803,0.7877196153894147,7870.553,41.539913,2.7188003,0.006469616,2.712331
Train,148480,0.00641121044754982,1.3671875,7032.825394182466,1.373598709801263,11612.0205,58.410767,2.717308,0.0064112097,2.7108967
Train,153600,0.0063032425940036775,0.5859375,3032.272616799455,0.5922407454686436,5361.551,24.200832,2.719916,0.0063032457,2.7136133
Train,158720,0.006274276971817016,0.0,32.12429631734267,0.00627427662448099,0.013142456,0.26975715,2.7193792,0.006274277,2.7131047
Train,163840,0.006126877665519714,0.390625,2031.3696145913564,0.3967518778498743,3934.8364,20.971907,2.7167668,0.006126878,2.7106397
Train,168960,0.0060072880238294605,0.5859375,3030.757309771143,0.5919447870646763,5826.054,29.296453,2.719193,0.006007287,2.7131858
Train,174080,0.006026674807071686,0.5859375,3030.856570343487,0.5919641738952123,4436.514,19.322884,2.7192008,0.006026674,2.713174
Train,179200,0.006072092056274414,0.78125,4031.089118669275,0.7873220934900929,7270.6846,32.36824,2.7161815,0.0060720937,2.7101095
Train,184320,0.006007329747080803,0.1953125,1030.7575287772343,0.20131982983930358,1966.9277,10.6317005,2.7185297,0.00600733,2.7125225
Train,189440,0.0058954950422048565,0.5859375,3030.1849248530343,0.5918329931353583,5798.099,28.22965,2.7150307,0.005895493,2.7091353
Train,194560,0.005712039023637772,0.1953125,1029.245633510407,0.20102453779500137,1967.8275,10.636237,2.7180412,0.005712038,2.7123296
Train,199680,0.00563068650662899,0.5859375,3028.8291150843725,0.5915681865399165,4954.8716,24.119762,2.7196243,0.005630687,2.7139938
Train,204800,0.005551439523696899,0.0,28.423362968489528,0.005551438079783111,0.010731194,0.23789486,2.716339,0.0055514383,2.7107878
Train,209920,0.00551142655313015,0.390625,2028.2184990081005,0.3961364255875196,3934.368,20.81957,2.7177773,0.0055114254,2.7122657
Train,215040,0.005554790794849396,0.9765625,5028.440524594393,0.9821172899598423,8063.3423,42.074604,2.7164533,0.00555479,2.7108986
Train,220160,0.005510303750634193,0.1953125,1028.2127613383345,0.20082280494889346,1967.566,10.623435,2.7186253,0.005510305,2.7131152
Train,225280,0.005519271641969681,0.390625,2028.258674276527,0.39614427231963417,3934.619,21.011663,2.7154396,0.0055192723,2.7099204
Train,230400,0.005484328418970108,0.78125,4028.0797623689286,0.7867343285876813,7840.926,39.880642,2.7168298,0.005484329,2.7113454
Train,235520,0.00544535368680954,1.171875,6027.880210453644,1.1773203536042274,11774.503,60.780785,2.715294,0.0054453537,2.7098486
Train,240640,0.005365578085184097,0.390625,2027.471752260346,0.3959905766133488,2161.8054,11.137254,2.7190995,0.0053655766,2.713734
Train,245760,0.005264784768223762,0.78125,4026.9557016552426,0.7865147854795396,7618.5337,37.467926,2.7165172,0.0052647856,2.7112525
Train,250880,0.005235051363706588,0.390625,2026.803464432247,0.39586005164692323,3081.1914,14.137729,2.7170277,0.0052350517,2.7117927
Train,256000,0.005220538005232811,0.0,26.729168890509754,0.005220540798927686,0.013382069,0.23580411,2.7160614,0.005220541,2.710841
Train,261120,0.005171766877174378,0.5859375,3026.479437606409,0.5911092651575018,5901.6406,31.26992,2.7151375,0.005171765,2.7099655
Train,266240,0.005150219798088074,0.1953125,1026.3691204092465,0.20046271882993097,1967.1078,10.618163,2.7170732,0.005150219,2.711923
Train,271360,0.005188640207052231,0.0,26.56583068659529,0.005188638805975643,0.018337844,0.26637477,2.7161977,0.005188639,2.7110093
Train,276480,0.005222677066922188,0.78125,4026.740121879615,0.7864726800546122,7868.97,41.566307,2.7163448,0.0052226805,2.7111223
Train,281600,0.0051760092377662655,0.1953125,1026.501156348735,0.20048850709936233,1965.8519,10.616518,2.717264,0.0051760073,2.712088
